Unnamed: 0,Player,Team,Age,Height,Weight,Position,Goals,Assists,YellowCards,RedCards,PassCompletionRate,DistanceCovered,Sprints,ShotsOnTarget,TacklesWon,CleanSheets,PlayerFatigue,MatchPressure,InjuryHistory,TrainingHours,FatigueInjuryCorrelation,PressurePerformanceImpact,EffectiveTraining,Season
3391,Player A,Team B,27,188.5087201,53.13714175,Goalkeeper,,3,8,2,95.7981683,13.5805312,1,10,0,7,0.897919187,50,6,5.892938484,2.634022247,0.034482759,159.8740794,2019
3392,Player B,Team C,35,195.2795036,117.0244091,Goalkeeper,24,,0,0,51.36917121,10.4548251,6,6,6,1,0.888118189,38,6,10.09933847,0.092612475,0.84,,2022
3393,Player D,Team C,30,174.8469648,,Midfielder,,,0,4,98.90474541,14.47324362,27,1,5,9,0.325290618,56,5,9.322576498,0.331383198,,,2021
3394,Player A,Team B,35,163.0141958,69.55494263,Goalkeeper,,,2,2,68.97510108,11.94237651,91,0,6,9,0.900960896,63,4,6.564504845,0.437179845,,,2022
3395,Player C,Team B,20,,101.2067931,Midfielder,18,,5,3,94.30538424,9.719820852,80,0,23,2,0.996157673,48,3,10.43706966,0,0.315789474,,2019
3396,Player D,Team C,20,177.4004771,90.5002788,Goalkeeper,120,0,1,0,72.03801001,9.215181237,29,0,14,6,0.825415664,90,7,9.489801637,0.990944724,7.076923077,122.1935787,2022
3397,Player A,Team B,29,184.9303004,66.62336865,Goalkeeper,,14,0,0,71.10952555,12.50166796,84,1,5,5,0.844871348,59,6,14.51748844,7.556027329,4.307692308,378.4956448,2021
3398,Player D,Team B,37,186.6522129,68.35200862,Forward,15,17,7,1,50.5595307,11.30469218,72,11,17,7,0.249008736,77,9,18.24953996,2.587484562,5.75,435.3473958,2022
3399,Player D,Team B,24,,84.3807222,Goalkeeper,21,19,9,3,,13.17443368,35,0,1,9,0.576702399,44,0,11.82262581,0,2.318181818,413.9644478,2022
3400,Player D,Team A,25,168.2103012,79.3465859,Midfielder,20,2,8,0,,12.80986263,21,12,8,4,0.067255914,90,5,16.19997759,2.85760386,1.285714286,260.8379532,2020
3401,Player D,Team B,26,190.205722,70.38605298,Goalkeeper,2,14,9,1,96.88203037,10.24202696,78,3,5,4,0.094917937,55,1,7.190155507,0.779927906,9.666666667,117.8687813,2019
3402,Player D,Team A,31,192.150079,106.5258117,Forward,3,4,0,1,115.3289097,14.4570179,77,11,21,1,0.998892612,55,3,18.42449568,1.38897986,3.25,86.65058985,2019
3403,Player D,Team B,22,182.1190234,83.70240423,Goalkeeper,,9,2,3,54.69595147,12.04257267,26,12,16,5,0.326639249,1,4,7.288921073,3.492580088,2.259259259,581.5799586,2020
3404,Player A,Team C,38,179.5424464,95.83936437,Defender,,6,4,0,60.69285165,7.008395877,81,9,23,4,0.748183912,8,7,7.881517709,0.906090711,6.142857143,72.76325931,2019
3405,Player C,Team A,36,164.5575273,63.24914501,Midfielder,20,7,6,0,60.61599233,11.18487174,9,9,29,8,0.806665053,4,5,6.596957054,2.318736079,7,63.66162635,2020
3406,Player B,Team A,38,163.3580665,87.34553638,Defender,8,2,9,4,64.65678018,7.018130559,21,14,10,2,0.858023271,85,1,9.645192523,3.20827202,1,104.3808942,2021
3407,Player D,Team B,33,173.5825938,72.25832346,Forward,,17,3,0,114.3082984,10.58849295,22,10,23,4,0.997628297,86,4,13.2861567,0.337018775,,,2021
3408,Player B,Team B,29,,,Defender,,16,5,1,61.7763356,12.89934452,51,6,3,2,0.241496485,53,4,19.81991167,4.845809906,0.068965517,599.4949004,2020
3409,Player A,Team A,38,198.146258,104.6578083,Goalkeeper,17,15,0,2,,13.12505342,41,9,6,8,0.040350827,58,5,16.90052052,5.827231886,1.5,371.3309517,2021
3410,Player D,Team C,21,,103.8239247,Midfielder,20,12,3,3,94.51096187,11.50825018,40,2,14,8,0.411191518,37,0,10.70653704,1.108192335,3.80952381,523.1322476,2021
3411,Player C,Team C,25,186.3969718,74.79544746,Defender,13,,7,2,65.81521704,12.83306172,47,8,24,9,0.13008067,49,7,13.63769087,1.059030579,1.357142857,300.2984408,2020
3412,Player B,Team B,24,,98.5993982,Goalkeeper,19,2,4,0,99.84467289,9.722356462,68,1,29,6,0.022425889,67,2,14.34962046,3.174101399,0.75,134.6295823,2019
3413,Player D,Team C,32,166.6947012,,Defender,,10,7,1,64.91765537,10.50655845,50,1,26,0,0.360426827,19,4,17.34090832,2.943436971,,,2020
3414,Player A,Team C,23,199.1382669,,Goalkeeper,28,1,0,2,86.09149095,13.79606979,88,6,28,8,0.783738251,1,6,16.04677678,0,1.275862069,407.3315224,2020
3415,Player C,Team B,22,175.0016279,60.38870864,Goalkeeper,4,,9,3,82.2004411,9.930806503,0,12,16,8,0.566180691,29,2,13.5393669,0,4.8,379.9119756,2021
3416,Player B,Team C,31,164.2770241,97.57960405,Defender,,3,8,4,,8.509290886,87,8,11,9,0.312777989,87,9,15.03774541,0.397881236,30,55.03462737,2022
3417,Player B,Team B,38,179.7519558,,Forward,9,16,3,2,67.1148423,12.96992569,96,13,12,4,0.654342005,33,5,16.18876416,1.979680982,0.4,202.3451654,2022
3418,Player D,Team A,30,194.9599205,111.0477286,Midfielder,10,5,8,4,97.57498089,5.504736977,55,5,20,1,0.23201818,52,4,6.997160887,1.060570419,2.454545455,259.6590032,2020
3419,Player C,Team B,27,195.4916401,86.16623471,Forward,160,9,7,0,52.54334666,14.58357017,70,10,12,0,0.014381446,41,6,8.00683192,0,0.590062112,2914.478951,2019
3420,Player C,Team A,35,160.4386366,76.95985154,Defender,7,10,7,0,58.74421625,8.400651912,23,0,7,1,0.764353386,23,9,15.32876433,1.20115257,1.125,230.8034235,2021
3421,Player C,Team A,21,195.4518298,53.99046163,Goalkeeper,,4,1,3,,11.2961616,14,5,6,3,0.623743085,5,2,17.75638343,1.541100722,,,2022
3422,Player C,Team C,25,170.8593687,,Defender,70,17,2,4,51.98963799,11.85455252,74,3,28,3,0.762302625,71,1,11.13893424,2.585671992,0.75,403.2695495,2022
3423,Player A,Team C,28,161.5588946,113.2244668,Goalkeeper,19,9,9,4,72.33036742,6.370781675,43,4,25,0,0.038938017,57,3,19.69835484,1.55956233,4.75,229.2386922,2020
3424,Player C,Team C,34,,51.46880974,Goalkeeper,27,8,8,3,95.91755195,13.22860247,80,3,3,7,0.837119628,6,2,8.24107599,5.060664411,2,210.9739293,2019
3425,Player B,Team B,35,,83.22537104,Forward,1,15,2,2,97.18393943,10.72112959,48,13,2,9,0.6195262,49,3,11.25048923,1.434301331,48.5,196.3606365,2019
3426,Player B,Team C,38,183.8492432,115.1810664,Forward,3,9,7,3,98.96604458,8.279286175,86,2,16,7,0.563395351,22,6,10.67784565,5.341620609,12.5,123.6198962,2020
3427,Player A,Team A,28,,77.63886998,Defender,29,9,4,0,,13.50685872,48,1,15,7,0.624614048,77,4,18.95443911,5.373522865,1.666666667,513.1625512,2019
3428,Player B,Team C,33,192.5248109,,Midfielder,15,3,6,4,54.32399939,11.25080378,67,1,18,4,0.864433247,76,3,9.280677764,1.659555401,1.8125,201.7874433,2019
3429,Player B,Team C,29,382.9047642,90.49920386,Forward,8,,3,1,88.63516408,12.8577817,94,9,1,9,0.586936507,4,5,12.06186167,0,3.444444444,115.8500361,2019
3430,Player C,Team B,30,195.6042189,82.40561335,Goalkeeper,25,7,7,1,117.6682084,14.92309777,97,10,20,1,0.58095038,72,6,7.808507594,7.480464539,0.346153846,359.7524675,2022
3431,Player B,Team B,33,182.1098979,61.80211839,Defender,80,0,3,0,78.98066974,6.302764087,73,3,13,3,0.990679157,64,4,12.81899358,0.103472574,9.888888889,56.08475013,2021
3432,Player A,Team A,38,198.7058837,51.29888773,Defender,20,15,4,4,94.41179358,12.49596484,36,2,15,0,0.756730167,37,6,17.86106254,0,4.619047619,256.6621446,2022
3433,Player C,Team B,18,199.8458732,92.68681606,Midfielder,,16,0,4,95.57850445,12.57671009,73,10,16,9,0.442293805,31,2,9.560591928,6.914353849,,,2021
3434,Player D,Team C,33,164.6617844,228.9129222,Defender,250,9,9,3,,13.74689664,41,11,3,0,0.707397,37,6,17.16188108,1.736766027,0.076923077,418.3432259,2022
3435,Player C,Team B,32,193.9817504,57.44548931,Forward,2,,7,2,55.60499736,9.080654525,58,5,7,9,0.389230472,45,2,18.66967373,1.441464095,15,43.46964688,2019
3436,Player A,Team A,23,179.9928903,64.76669035,Goalkeeper,130,,6,3,54.77625865,13.69651314,74,9,8,2,0.228875462,90,5,6.094368346,2.47734494,4.785714286,126.4181709,2020
3437,Player C,Team C,29,175.5026535,151.832128,Defender,14,,4,1,70.43148761,11.39883238,94,12,15,3,0.596851877,8,7,16.34636804,1.161107519,3.866666667,,2021
3438,Player C,Team A,25,184.5228924,,Defender,5,1,5,4,64.63502993,5.687721723,9,2,15,2,0.928182098,40,5,8.830151542,3.772666006,8.166666667,64.21859078,2020
3439,Player A,Team B,24,162.2386223,,Goalkeeper,15,,0,2,56.64915922,5.315167503,52,2,16,2,0.92913952,97,9,7.629914938,0.324582897,0.875,236.049755,2022
3440,Player C,Team B,19,180.2584448,111.7438083,Defender,22,4,7,3,,9.814854138,41,3,2,7,0.341905278,93,2,14.01683588,1.335273253,4.217391304,224.712021,2022
3441,Player A,Team A,29,,,Defender,27,7,8,2,,12.85832072,7,13,21,3,0.527677466,5,4,15.58403924,0.236673387,3.535714286,431.3359287,2021
3442,Player A,Team C,38,168.5384606,115.8669635,Midfielder,,,4,1,84.89841316,8.842315256,74,14,20,2,0.211635899,28,8,10.92141479,0.774853775,,,2020
3443,Player D,Team B,31,,,Forward,13,14,9,2,58.76386294,13.51832152,83,4,27,8,0.995631109,81,7,5.587605606,0.383701687,3.214285714,526.4190023,2019
3444,Player B,Team B,33,197.5792355,,Defender,11,7,6,4,65.29219036,9.921220164,23,14,16,0,0.981117908,87,5,18.63056786,2.359789601,7.166666667,241.9645314,2019
3445,Player B,Team C,28,,151.4765332,Forward,8,4,9,2,59.95264518,5.262884735,50,10,17,7,0.64950893,9,8,15.96120375,0.879248247,6.888888889,229.0672187,2019
3446,Player C,Team B,37,,,Midfielder,22,4,3,2,80.06671156,14.7366506,70,14,17,4,0.80441406,2,1,9.0750021,1.430188137,1.826086957,498.7339321,2022
3447,Player C,Team A,26,177.6214659,,Forward,18,,5,3,,9.896117646,59,8,22,7,0.715100161,63,8,12.45295784,0.496905722,2,190.5784967,2022
3448,Player D,Team B,27,180.7781107,106.8476555,Midfielder,110,16,1,2,103.7597332,11.50135977,20,12,5,9,0.593158219,96,9,5.41689185,0.324285175,2,340.0683829,2022
3449,Player D,Team B,34,,,Forward,12,8,3,2,64.80282793,6.992892156,52,10,28,2,0.053347997,51,9,10.08924173,1.463149162,3.615384615,333.0262567,2019
3450,Player D,Team C,29,192.027712,109.7587,Forward,22,,4,1,61.85264634,7.973306654,5,4,5,5,0.454764343,31,5,12.83802853,1.488416046,1.086956522,,2021
3451,Player A,Team A,23,178.0840882,102.8448786,Defender,12,0,8,2,,9.842844969,30,13,0,6,0.674786302,7,8,12.75835423,5.475814691,6.076923077,226.7936372,2022
3452,Player D,Team C,36,192.6992374,,Forward,16,10,8,3,52.44269783,13.56189203,11,14,28,7,0.677531614,30,3,8.12277317,0.832914326,0.882352941,411.9335361,2021
3453,Player D,Team B,28,181.3488265,90.0496423,Defender,,14,7,3,82.81991894,6.01954225,12,0,15,6,0.373122618,58,4,16.65121049,0,41,297.4811933,2021
3454,Player C,Team B,26,173.5392204,59.09249784,Defender,19,0,3,4,50.97884905,12.80339694,48,8,16,6,0.941691987,3,1,9.482932378,2.883432948,4.9,286.3491906,2019
3455,Player D,Team C,38,186.3180331,,Forward,22,,5,1,59.69190638,10.79350786,30,12,3,1,0.167357032,51,2,13.70615035,6.519330271,3.434782609,155.8711501,2022
3456,Player A,Team C,23,188.7088902,105.0871778,Defender,,18,6,0,,9.996652742,8,1,15,2,0.500359446,56,0,9.072833383,0.035718743,,,2021
3457,Player A,Team C,33,182.321959,95.95292757,Forward,,14,0,4,94.32429846,13.76587909,26,12,25,5,0.690883977,73,3,11.37751809,2.835340109,2.238095238,479.3684013,2019
3458,Player C,Team A,37,162.2645989,,Goalkeeper,70,5,0,2,56.88674668,6.181201331,52,3,21,2,0.697135806,10,1,8.112719379,2.245611149,0.042253521,1275.182176,2020
3459,Player D,Team B,33,166.795315,117.5121488,Defender,6,,3,1,96.89032777,14.90754144,80,9,26,8,0.648638957,61,1,14.49511689,3.655605994,10.28571429,165.5172137,2022
3460,Player D,Team C,23,171.4119088,111.532238,Goalkeeper,,,2,4,90.77281521,13.54633443,50,5,21,8,0.275288213,50,0,11.3837654,5.25297142,3.8,169.2813848,2019
3461,Player A,Team B,22,,95.11013455,Goalkeeper,28,11,9,3,83.95232121,8.257369301,71,8,20,5,0.156206569,47,9,5.241759567,2.889957228,3.24137931,261.5903736,2021
3462,Player D,Team A,38,186.936832,76.02606984,Defender,,12,3,1,70.58730731,9.515764536,26,1,19,0,0.635940327,90,1,5.42247491,1.505655435,,,2022
3463,Player D,Team A,21,160.7339465,,Midfielder,2,14,8,1,95.26284386,5.250033097,39,8,1,0,0.599302116,1,3,12.06701478,0.977174313,29.66666667,282.1816659,2019
3464,Player D,Team A,19,190.2272711,,Midfielder,12,18,1,2,76.39775149,10.27604997,61,8,22,3,0.17935601,94,5,7.748388004,0.527570323,2.615384615,558.992837,2020
3465,Player B,Team A,23,,77.59693915,Goalkeeper,5,,3,1,68.5603764,10.47719571,57,0,11,9,0.705139146,57,6,13.77563072,6.439354422,1.166666667,317.196062,2022
3466,Player C,Team B,26,172.4008738,71.46717802,Goalkeeper,25,12,6,1,103.7263326,14.26575731,14,11,15,7,0.455171992,38,6,11.12287673,0.17814111,3,615.5565427,2020
3467,Player B,Team A,34,181.1163931,78.49075546,Forward,,1,1,0,,8.879256754,38,11,5,2,0.667760592,62,6,14.81629753,4.849137176,2.909090909,165.0640038,2021
3468,Player C,Team A,31,168.637024,90.17379842,Goalkeeper,,,7,2,63.64390886,10.70617954,69,10,15,3,0.83736708,79,3,19.28592761,7.542924151,,,2022
3469,Player A,Team C,24,,79.96943913,Defender,,10,9,1,95.9657254,12.40617344,95,5,6,5,0.169728429,89,4,12.93104202,3.657703737,,,2020
3470,Player D,Team A,39,,68.45021417,Midfielder,,,3,1,89.69634208,11.08516438,7,11,13,8,0.019144868,70,2,16.81067905,0.533025427,,,2021
3471,Player C,Team C,36,177.7752945,103.2674322,Midfielder,2,3,8,0,75.67503646,6.561738784,34,5,2,3,0.779102586,82,0,16.29561494,3.890807509,1.333333333,30.2278585,2021
3472,Player B,Team A,18,,87.20272472,Midfielder,12,1,0,0,70.82836956,6.718152599,62,8,0,2,0.609697425,65,7,18.82686656,1.536815576,3.076923077,94.89936695,2019
3473,Player D,Team A,37,184.6337558,54.73726143,Defender,14,,6,3,90.37849695,6.383395018,30,5,16,9,0.69963957,62,9,8.210268009,2.491643813,6.466666667,,2019
3474,Player A,Team C,32,171.6931806,75.78215539,Forward,110,,0,2,78.53181667,7.177289616,89,12,19,9,0.838154975,56,6,17.40990456,2.918995858,0.108108108,1169.855238,2021
3475,Player C,Team A,35,176.8304083,111.943942,Defender,14,7,9,0,70.75168668,8.283297735,41,13,3,8,0.802810935,67,8,18.58280568,1.871545975,4.866666667,115.4619117,2021
3476,Player C,Team B,20,188.2677752,102.8665572,Defender,250,7,8,1,75.7724396,12.39667399,87,1,6,6,0.960920147,17,9,10.89144471,4.277233737,3.269230769,241.455665,2020
3477,Player C,Team B,35,198.9304297,,Midfielder,10,1,9,0,61.63546219,5.609258101,65,12,28,8,0.535935079,8,3,9.707242919,1.611770799,4.727272727,187.4509795,2020
3478,Player D,Team A,19,195.7255487,115.6728206,Defender,10,14,9,4,60.09849414,13.2044496,40,7,6,9,0.488495633,60,4,19.28053865,0.380779166,6.909090909,233.1164997,2020
3479,Player B,Team B,27,173.6973123,55.36220359,Goalkeeper,12,4,0,3,,7.624624103,0,0,3,5,0.4018872,40,4,14.41449233,1.119926506,5.076923077,224.3548999,2021
3480,Player B,Team C,28,199.9279152,117.2864293,Defender,,18,2,3,98.47959106,11.13423692,73,4,6,3,0.153691043,81,6,10.71014728,0.46233074,,,2019
3481,Player C,Team A,20,160.1401865,67.19935647,Midfielder,5,9,6,2,71.04135545,10.52768355,86,9,7,4,0.572607233,89,8,16.87741581,5.936969227,13.5,262.0553118,2020
3482,Player A,Team A,24,161.1051902,50.63659262,Midfielder,28,8,0,3,,6.540222365,32,2,8,9,0.277012524,62,7,9.567108524,1.680441125,2.931034483,339.0510388,2020
3483,Player A,Team C,25,192.9536206,160.7331251,Defender,220,,4,2,91.35970689,7.872971684,36,10,21,1,0.921307512,41,6,7.646113791,5.5534197,3.956521739,696.4756929,2020
3484,Player B,Team C,36,,75.12793008,Goalkeeper,19,7,5,4,86.29178275,7.959209293,56,5,14,2,0.583190804,12,0,13.15954454,0.180959257,0.35,513.7190842,2022
3485,Player A,Team C,35,162.4307707,87.73623036,Goalkeeper,18,4,2,1,54.97746167,11.23830347,10,13,3,4,0.592840181,93,9,13.49318067,0.988942124,3.210526316,172.6558654,2021
3486,Player B,Team A,30,169.4859229,,Midfielder,18,18,5,4,68.73055271,12.88500496,83,11,25,2,0.354924661,89,5,17.38619723,5.851701287,2.842105263,200.661184,2020
3487,Player C,Team C,30,177.0440062,108.9701562,Goalkeeper,26,,3,2,62.50756216,14.96288611,89,4,17,2,0.051989352,54,9,11.85541033,0.803324541,1.481481481,,2019
3488,Player B,Team C,36,189.2226508,78.08609997,Goalkeeper,2,13,5,2,99.63150958,5.958972339,46,11,24,8,0.031743765,89,8,17.21879809,3.987768801,12,129.5442288,2020
3489,Player B,Team B,29,184.9734211,80.08920206,Forward,15,7,5,2,110.3778445,14.38666791,65,11,11,3,0.423335144,93,6,9.66984019,1.726499691,1.625,308.4437144,2022
3490,Player C,Team B,34,169.5048487,,Forward,8,,3,1,52.38826046,10.61526092,88,12,22,3,0.084565378,11,0,13.63052303,3.893728662,7.777777778,418.4148521,2021
3491,Player A,Team A,39,180.1308179,,Goalkeeper,,,0,2,95.00189833,8.567678136,3,12,5,0,0.606846956,60,8,8.127091684,2.983092493,,,2019
3492,Player B,Team B,29,197.0485642,94.88504932,Goalkeeper,,,2,4,96.39791899,7.845747766,82,9,3,6,0.880973006,68,2,10.78168926,0.051169969,0.185185185,,2022
3493,Player B,Team B,30,192.6003111,,Forward,13,18,9,1,66.66344881,7.090405084,76,12,3,9,0.882914817,78,8,17.86309547,3.973042037,4,162.9770135,2019
3494,Player C,Team C,29,345.8551828,,Forward,2900,,6,4,,10.5707464,82,12,17,8,0.65904541,46,3,8.239822902,3.920257713,0.240549828,,2019
3495,Player A,Team C,36,,87.73631015,Forward,27,16,1,1,84.10194962,14.46016934,76,13,0,7,0.211231831,38,8,17.15359194,1.697397699,3.035714286,439.3766867,2019
3496,Player B,Team B,31,,63.90080848,Midfielder,2,9,3,2,,6.821559042,54,3,20,1,0.862996831,61,7,9.243074868,2.358853109,13,144.5387475,2021
3497,Player C,Team B,24,162.4979742,87.76660605,Midfielder,2,,5,1,84.67536365,9.361670489,11,2,5,5,0.886093435,17,6,5.517345795,0.185139942,5,34.8511286,2021
3498,Player B,Team B,30,161.4064285,125.6196803,Forward,23,,4,0,77.98590042,7.038481304,65,0,25,9,0.196653585,66,3,6.649018551,3.81374325,2.208333333,579.1463471,2020
3499,Player D,Team A,23,166.736318,80.71160453,Forward,19,15,5,4,97.69219553,6.756303778,36,7,8,9,0.737426086,72,8,16.18819318,1.5455725,2.05,585.5491801,2019
3500,Player C,Team A,36,189.1142347,105.9692221,Forward,60,2,4,0,75.61870861,13.66741856,22,10,16,4,0.286519549,36,3,8.931063898,0.074741642,6.142857143,45.30229852,2021
3501,Player A,Team A,36,167.349557,,Midfielder,180,,8,0,110.7928844,7.619625441,54,4,20,7,0.802640312,74,0,14.81218388,4.3186957,1.421052632,491.721402,2019
3502,Player A,Team B,21,180.4594708,60.40895228,Midfielder,23,13,1,2,54.02127416,7.479718347,18,7,10,0,0.9972379,7,5,15.48798354,1.081671336,2.083333333,234.3951333,2019
3503,Player A,Team B,36,,,Goalkeeper,,19,3,2,50.91883096,14.09792291,66,8,28,8,0.030026005,16,3,10.17677697,2.234771318,,,2022
3504,Player A,Team A,26,196.8354463,63.07378914,Defender,20,,0,0,71.39616934,8.860402849,87,12,20,8,0.897365866,14,9,12.12378481,3.559043845,1.761904762,,2019
3505,Player B,Team A,33,173.7584245,101.6984912,Goalkeeper,,6,6,1,,5.087166768,22,7,8,6,0.622630534,80,2,11.05650636,3.611303649,,,2019
3506,Player B,Team B,21,196.3252823,,Defender,110,,0,2,94.76094577,12.21185651,3,5,10,7,0.973382619,25,4,19.21023495,1.991608127,5.916666667,212.193865,2022
3507,Player A,Team C,23,197.7950257,81.76192314,Defender,,3,5,4,93.35739293,10.17012006,17,9,26,8,0.465009518,4,2,9.799232935,0,2.047619048,151.3750641,2021
3508,Player A,Team A,25,160.2451459,109.6004527,Defender,5,15,9,0,91.89212511,12.74131396,11,7,3,4,0.847387931,29,8,7.749845633,0.43221182,0.333333333,125.5922044,2021
3509,Player A,Team B,33,178.5654075,99.6022467,Goalkeeper,6,10,9,4,,10.70294564,34,4,12,1,0.062394069,56,5,10.48389264,1.295953042,6.285714286,105.7583463,2022
3510,Player B,Team B,22,321.9724845,52.30375579,Midfielder,1,17,8,4,64.88028397,8.512672049,26,8,28,0,0.33527905,6,2,15.04273561,5.555132711,19,251.2960723,2020
3511,Player A,Team C,38,196.3477107,70.73220202,Midfielder,,15,1,4,,5.665642898,42,5,18,4,0.067016538,1,4,15.46044036,2.708059402,,,2019
3512,Player A,Team B,39,,110.9644463,Midfielder,290,6,0,0,65.58690296,13.65936623,77,1,2,7,0.975343133,39,7,18.86085973,7.657456568,0.058419244,5183.515506,2020
3513,Player D,Team B,27,162.9977605,51.2828318,Midfielder,,2,9,3,,7.070846545,94,6,21,9,0.816973907,1,7,18.22631727,0.065890691,2.2,344.235234,2021
3514,Player D,Team A,30,164.4110691,88.16774124,Goalkeeper,,4,2,2,96.20231468,14.71347985,66,13,26,3,0.852547421,63,5,9.324807806,0,4.733333333,340.6263339,2019
3515,Player A,Team A,31,,100.9477968,Forward,14,,5,4,80.79631329,7.45835255,68,0,0,3,0.937965231,57,4,11.82744873,0.19461689,3.266666667,,2022
3516,Player C,Team C,24,197.6093677,93.52992598,Defender,90,16,6,0,56.62762,13.27035601,63,9,16,3,0.085103486,67,4,16.20903482,0.664459055,0.1,419.2132343,2020
3517,Player A,Team C,37,187.7163661,103.2372541,Midfielder,16,0,7,3,60.30294783,12.88748206,92,11,16,7,0.385597593,65,0,18.74805921,0.059884208,0.588235294,160.2867952,2021
3518,Player D,Team B,23,194.7047546,,Midfielder,170,,3,0,,9.627471336,51,14,6,6,0.071034889,65,1,10.05747519,5.689671423,0.561403509,,2021
3519,Player C,Team A,24,174.6582659,98.44214866,Goalkeeper,17,14,7,2,52.5947039,9.017038652,16,14,13,0,0.210793102,21,3,11.66662151,1.516831689,2.111111111,374.9507836,2020
3520,Player C,Team C,22,161.728548,,Defender,,12,6,0,63.59958906,12.03259695,82,0,4,9,0.229365777,30,5,18.49217406,0.592003379,,,2020
3521,Player A,Team C,38,198.9727055,,Midfielder,14,6,7,1,85.17231938,10.28552512,98,11,29,5,0.469107211,96,6,10.3772581,1.845823188,6.6,118.0561262,2020
3522,Player D,Team C,35,160.6869196,78.1692946,Forward,250,2,4,1,,11.31958157,32,13,13,3,0.268562167,33,0,12.20769479,4.534250122,0.354581673,3492.109864,2022
3523,Player D,Team B,29,,83.03363769,Midfielder,22,12,9,4,,9.702154591,71,14,10,1,0.100978107,48,7,18.56756212,1.360121025,4.260869565,205.3841329,2020
3524,Player C,Team A,23,174.747097,100.1707348,Defender,5,15,6,0,76.00145417,10.57154627,51,14,24,2,0.167491089,22,0,17.03364827,4.432959253,3.666666667,123.8249816,2021
3525,Player A,Team C,18,160.4036162,,Forward,8,0,3,0,65.60776274,6.891500404,34,7,27,3,0.147275564,94,8,8.651463875,1.376388738,7.555555556,71.53577,2019
3526,Player B,Team A,21,187.5662893,69.05531606,Goalkeeper,10,,0,4,,5.553963556,19,14,26,9,0.973076798,54,3,9.871925981,2.645990803,2.727272727,192.0633876,2019
3527,Player B,Team C,36,,,Forward,14,15,2,4,89.33174531,8.559237168,80,11,29,6,0.759292507,4,6,10.29438091,1.661582399,4,266.8312115,2022
3528,Player D,Team C,29,,,Defender,22,1,9,3,79.3555958,9.658619498,44,4,2,0,0.967761465,87,5,18.6910771,0.021447364,0.391304348,307.8681189,2020
3529,Player B,Team A,32,166.4374804,90.49582547,Defender,2,17,8,0,91.72764507,14.06029607,76,10,5,0,0.439740487,55,8,19.98400606,2.648151139,21.66666667,350.9776005,2019
3530,Player D,Team A,20,167.2499122,62.5273272,Forward,18,,3,2,,9.13939514,67,9,6,2,0.278368482,44,1,16.61006453,0,3.052631579,697.6441191,2021
3531,Player D,Team A,37,182.6215566,96.45865972,Midfielder,0,4,4,2,55.60974174,9.339187535,49,8,18,1,0.798293197,89,6,12.26489454,2.203139684,23,44.56633584,2020
3532,Player D,Team B,25,185.4921931,119.3533509,Defender,23,4,2,2,96.91190598,11.74831409,57,13,8,2,0.326253918,12,4,5.152607271,5.262525782,0.708333333,138.2420989,2020
3533,Player B,Team C,28,379.1534331,107.6417495,Forward,16,,5,4,76.70035385,7.067861911,29,11,1,2,0.299383374,81,6,15.46232085,0,5.647058824,213.3102042,2019
3534,Player D,Team B,33,167.2420144,,Defender,10,8,3,4,84.76452762,13.71639608,69,5,27,0,0.232505992,79,0,10.84041747,7.400440071,1.636363636,267.073432,2022
3535,Player C,Team A,26,,64.5632658,Midfielder,29,,4,4,,9.276409804,1,14,11,5,0.129678978,74,9,14.49479705,0,1.666666667,715.93288,2021
3536,Player A,Team C,20,185.5495703,111.3297849,Midfielder,,,6,2,56.78707612,14.30786991,78,12,6,7,0.256463061,99,8,14.10040945,0.659386948,3.222222222,,2019
3537,Player A,Team B,22,193.8818768,,Forward,100,17,6,3,,7.712683884,33,0,9,4,0.355319748,52,0,12.21248085,0.830907542,6.363636364,509.7784879,2019
3538,Player D,Team C,37,,,Goalkeeper,27,3,8,1,52.18363148,9.655923887,51,5,19,0,0.673994208,93,4,19.16581097,0.526574638,1.035714286,177.8969884,2022
3539,Player A,Team B,31,,73.08794806,Goalkeeper,60,17,1,0,54.3789801,12.78161186,83,12,14,9,0.062564842,76,7,5.34719518,1.378282958,13,181.5070774,2020
3540,Player B,Team A,32,199.0873163,54.34357368,Midfielder,0,19,3,1,60.24595562,10.55926797,15,0,24,6,0.21050694,65,0,15.68198727,5.811344001,15,150.778112,2022
3541,Player B,Team B,23,183.2848548,83.31831781,Goalkeeper,,14,7,0,78.05055655,11.61245495,42,12,22,9,0.80902364,65,6,11.14759802,1.809300437,1.583333333,217.818986,2022
3542,Player A,Team C,21,194.6749433,68.88863234,Midfielder,,6,3,4,99.64423685,7.806963032,63,4,23,8,0.146921924,10,1,15.70685676,7.186949517,,,2022
3543,Player B,Team C,25,,100.0660503,Goalkeeper,24,12,2,2,92.18616546,8.284591923,92,2,26,6,0.342645147,18,6,15.12829471,0.655228342,1.56,304.874749,2019
3544,Player A,Team C,36,187.0141851,116.9974587,Midfielder,7,1,9,1,117.7045373,10.07613489,26,11,25,8,0.864658922,47,6,5.153570039,5.641408349,4.875,133.5305519,2021
3545,Player A,Team C,22,181.9575471,98.36819058,Defender,14,8,5,4,92.11718358,7.024798434,64,9,18,9,0.154925311,66,8,9.280077428,1.670692121,5.466666667,177.6572487,2019
